,gdp,unemployment_rate
2016-03-31,518144.4,3.2433333333333336
2016-06-30,518874.8,3.1700000000000004
2016-09-30,519980.7,3.0566666666666666
2016-12-31,521504.8,3.0
2017-03-31,527540.8,2.89
2017-06-30,529394.5,2.893333333333333
2017-09-30,532343.2,2.78
2017-12-31,534831.9,2.6966666666666668
2018-03-31,532267.7,2.47
2018-06-30,534640.5,2.4033333333333333
2018-09-30,530141.2,2.4266666666666663
2018-12-31,533132.6,2.4233333333333333
2019-03-31,536552.8,2.44
2019-06-30,539412.1,2.3766666666666665
2019-09-30,539432.9,2.3000000000000003
2019-12-31,529417.9,2.2533333333333334
2020-03-31,526425.8,2.42
