index,gdp_growth,u_deviation
1980-03-31,,
1980-06-30,-0.7307536719004859,0.023333333333333428
1980-09-30,2.0984928047210083,0.10666666666666647
1980-12-31,2.087773987569097,0.12333333333333352
1981-03-31,0.7297609234541813,0.016666666666666607
1981-06-30,0.9644271657653025,0.08999999999999986
1981-09-30,0.3629418227884207,-0.12333333333333307
1981-12-31,0.5571522691899977,0.050000000000000266
1982-03-31,1.385838849577703,0.036666666666666625
1982-06-30,0.6673460441033452,0.10999999999999988
1982-09-30,0.40309926619115366,0.02666666666666684
1982-12-31,1.459337629576929,0.08666666666666645
1983-03-31,0.5007360873174216,0.18333333333333313
1983-06-30,0.848285812550853,-0.006666666666666821
1983-09-30,1.3624765798344152,0.046666666666666856
1983-12-31,0.7416624097412283,-0.06999999999999984
1984-03-31,1.150513332317371,0.10666666666666647
1984-06-30,1.91682870646106,-0.013333333333333197
1984-09-30,0.7480836160074444,0.03000000000000025
1984-12-31,0.3947932131252774,-0.07000000000000028
1985-03-31,1.2453111227134883,-0.10000000000000009
1985-06-30,1.9736550217301696,-0.023333333333333428
1985-09-30,1.5001524365733099,0.043333333333333446
1985-12-31,1.6768067769296957,0.1933333333333338
1986-03-31,-0.10029400838766911,-0.11333333333333373
1986-06-30,0.3799891929679111,0.08333333333333304
1986-09-30,0.6770714807743605,0.09666666666666668
1986-12-31,1.2530773941945128,-0.04666666666666641
1987-03-31,0.18734936068414143,0.12000000000000055
1987-06-30,1.9039357790064715,0.08333333333333304
1987-09-30,1.8391207674375298,-0.2566666666666668
1987-12-31,2.6870601747990275,-0.06333333333333346
1988-03-31,1.6887581642998306,-0.009999999999999787
1988-06-30,0.5820697415672038,-0.20000000000000018
1988-09-30,1.828522042974856,0.033333333333333215
1988-12-31,1.1738687222493382,-0.11999999999999966
1989-03-31,2.10418970513504,-0.05666666666666664
1989-06-30,-1.071453658536592,-0.02666666666666684
1989-09-30,1.537041040181819,-0.10000000000000053
1989-12-31,2.875540693595169,-0.03333333333333277
1990-03-31,-0.7090566605858162,-0.05666666666666709
1990-06-30,2.645748824632843,0.0
1990-09-30,1.925883950448326,-0.03666666666666618
1990-12-31,-0.08899265980205628,-0.0033333333333334103
1991-03-31,1.0253217032046846,0.0
1991-06-30,0.8843444311584125,0.02666666666666684
1991-09-30,-0.061405018218008145,0.02999999999999936
1991-12-31,0.7302399053495945,-0.06666666666666643
1992-03-31,0.14696098583018014,0.020000000000000018
1992-06-30,-0.0019122219310552246,0.013333333333333641
1992-09-30,0.3761955451931698,0.07333333333333325
1992-12-31,-0.6450499134006527,0.09666666666666668
1993-03-31,0.5393744534646583,0.05333333333333323
1993-06-30,-0.8722846030124409,0.11333333333333329
1993-09-30,-0.5068079531105774,0.08333333333333348
1993-12-31,0.38823139851873467,0.21333333333333337
1994-03-31,1.0996905827133086,0.11333333333333329
1994-06-30,-0.4871516401203091,-0.026666666666667282
1994-09-30,1.133379647434496,0.14333333333333398
1994-12-31,-0.4122958592079784,-0.05333333333333323
1995-03-31,1.14918627566718,0.08666666666666645
1995-06-30,1.043504046353827,0.0733333333333328
1995-09-30,1.1650648632226757,0.11666666666666714
1995-12-31,0.24337676752888004,0.15333333333333332
1996-03-31,0.8138603068630568,0.010000000000000231
1996-06-30,1.2416167454183613,0.043333333333333446
1996-09-30,0.04599044516886419,-0.07333333333333414
1996-12-31,1.1567500034926015,0.023333333333333428
1997-03-31,0.2953507413362866,-0.013333333333332753
1997-06-30,-0.669090184229304,0.0033333333333329662
1997-09-30,0.22781103368514355,0.06666666666666732
1997-12-31,0.031943558038149966,0.10999999999999943
1998-03-31,-1.1198402937078855,0.17333333333333378
1998-06-30,-0.4173047983060063,0.3900000000000001
1998-09-30,0.1774418989782589,0.1733333333333329
1998-12-31,0.7769051062409549,0.1633333333333331
1999-03-31,-1.2661229323502443,0.206666666666667
1999-06-30,0.3420116411415819,0.11000000000000032
1999-09-30,0.5643178123464487,-8.881784197001252e-16
1999-12-31,0.05633006314640365,-0.10999999999999943
2000-03-31,1.8088779530610832,0.18333333333333357
2000-06-30,0.2777085887134989,-0.1033333333333335
2000-09-30,0.0782268409177167,-0.03666666666666618
2000-12-31,0.9735378994151,0.0699999999999994
2001-03-31,0.5439667647662905,0.016666666666666607
2001-06-30,-0.4919154961815053,0.1566666666666663
2001-09-30,-1.019120525764583,0.20000000000000018
2001-12-31,-0.30650382517379837,0.24666666666666615
2002-03-31,0.1778703998865705,-0.07000000000000028
2002-06-30,0.7357445158859166,0.10333333333333439
2002-09-30,0.317694944763236,0.040000000000000036
2002-12-31,0.26017715157891086,-0.08999999999999986
2003-03-31,0.0833799828483972,0.033333333333333215
2003-06-30,0.6265413355669436,0.05333333333333279
2003-09-30,0.38596462118605235,-0.2699999999999996
2003-12-31,1.1075009541028358,-0.11666666666666714
2004-03-31,0.7063189780182055,-0.16999999999999904
2004-06-30,0.014172565658943093,-0.15333333333333332
2004-09-30,0.6188018117504912,0.040000000000000036
2004-12-31,-0.20213104105345492,-0.2400000000000011
2005-03-31,0.4900425906857464,0.006666666666666821
2005-06-30,0.6632433907135304,-0.10999999999999943
2005-09-30,0.9600095380244644,-0.09666666666666757
2005-12-31,0.18060712482019792,0.12333333333333396
2006-03-31,0.18453487934040336,-0.21333333333333293
2006-06-30,0.24351097335855165,-0.08000000000000007
2006-09-30,-0.17870561552296715,-0.03666666666666707
2006-12-31,1.3104362739977837,-0.08000000000000007
2007-03-31,0.7313886273106807,-0.009999999999999787
2007-06-30,0.11241095767284826,-0.26000000000000023
